"","id","block","refClass","appliance","pct_goal","rounded","state","family","state_avg","plan","value","change","state_dif"
"54",74312,1,"Percentage","WATER","10%","Rounded","Texas",5000,4396,"plan2",4500,-500,104
"55",74312,1,"Percentage","REFRIG","10%","Rounded","Texas",3000,1318,"plan1",3000,0,1682
"56",74312,1,"Percentage","REFRIG","10%","Rounded","Texas",3000,1318,"plan2",3000,0,1682
"57",74312,1,"Percentage","OTHER","10%","Rounded","Texas",8000,7883,"plan1",8000,0,117
"58",74312,1,"Percentage","OTHER","10%","Rounded","Texas",8000,7883,"plan2",8000,0,117
"59",74312,1,"Percentage","TOTAL","10%","Rounded","Texas",29000,22945,"plan1",26100,-2900,3155
"60",74312,1,"Percentage","TOTAL","10%","Rounded","Texas",29000,22945,"plan2",26100,-2900,3155
"61",74312,2,"Percentage","AC","15%","Not Rounded","Colorado",697,498,"plan1",500,-197,2
"62",74312,2,"Percentage","AC","15%","Not Rounded","Colorado",697,498,"plan2",600,-97,102
"63",74312,2,"Percentage","HEAT","15%","Not Rounded","Colorado",18052,16411,"plan1",14533,-3519,-1878
"64",74312,2,"Percentage","HEAT","15%","Not Rounded","Colorado",18052,16411,"plan2",14833,-3219,-1578
"65",74312,2,"Percentage","WATER","15%","Not Rounded","Colorado",11667,5832,"plan1",10000,-1667,4168
"66",74312,2,"Percentage","WATER","15%","Not Rounded","Colorado",11667,5832,"plan2",10000,-1667,4168
"67",74312,2,"Percentage","REFRIG","15%","Not Rounded","Colorado",1370,1142,"plan1",1370,0,228
"68",74312,2,"Percentage","REFRIG","15%","Not Rounded","Colorado",1370,1142,"plan2",1370,0,228
"69",74312,2,"Percentage","OTHER","15%","Not Rounded","Colorado",7982,6652,"plan1",7400,-582,748
"70",74312,2,"Percentage","OTHER","15%","Not Rounded","Colorado",7982,6652,"plan2",7000,-982,348
"71",74312,2,"Percentage","TOTAL","15%","Not Rounded","Colorado",39768,30535,"plan1",33803,-5965,3268
"72",74312,2,"Percentage","TOTAL","15%","Not Rounded","Colorado",39768,30535,"plan2",33803,-5965,3268
"73",74440,1,"kWh","AC","15%","Rounded","California",3000,1289,"plan1",1000,-2000,-289
"74",74440,1,"kWh","AC","15%","Rounded","California",3000,1289,"plan2",1000,-2000,-289
"75",74440,1,"kWh","HEAT","15%","Rounded","California",6000,5597,"plan1",4000,-2000,-1597
"76",74440,1,"kWh","HEAT","15%","Rounded","California",6000,5597,"plan2",5000,-1000,-597
"77",74440,1,"kWh","WATER","15%","Rounded","California",5000,4601,"plan1",4000,-1000,-601
"78",74440,1,"kWh","WATER","15%","Rounded","California",5000,4601,"plan2",4000,-1000,-601
"79",74440,1,"kWh","REFRIG","15%","Rounded","California",1000,1055,"plan1",1000,0,-55
"80",74440,1,"kWh","REFRIG","15%","Rounded","California",1000,1055,"plan2",1000,0,-55
"81",74440,1,"kWh","OTHER","15%","Rounded","California",8000,6916,"plan1",7000,-1000,84
"82",74440,1,"kWh","OTHER","15%","Rounded","California",8000,6916,"plan2",6000,-2000,-916
"83",74440,1,"kWh","TOTAL","15%","Rounded","California",23000,19458,"plan1",17000,-6000,-2458
