"id","block","refClass","appliance","pct_goal","rounded","state","calc","edu","els","pct","family","state_avg","plan","value"
"s2_101",2,"kWh","WATER","15%","Not Rounded","Texas","Calculator","Some college",0.5,0.15,5257,4396,"plan2",4500
"s2_101",2,"kWh","REFRIG","15%","Not Rounded","Texas","Calculator","Some college",0.5,0.15,2639,1318,"plan1",2000
"s2_101",2,"kWh","REFRIG","15%","Not Rounded","Texas","Calculator","Some college",0.5,0.15,2639,1318,"plan2",2000
"s2_101",2,"kWh","OTHER","15%","Not Rounded","Texas","Calculator","Some college",0.5,0.15,8459,7883,"plan1",6000
"s2_101",2,"kWh","OTHER","15%","Not Rounded","Texas","Calculator","Some college",0.5,0.15,8459,7883,"plan2",6500
"s2_101",2,"kWh","TOTAL","15%","Not Rounded","Texas","Calculator","Some college",0.5,0.15,29046,22945,"plan1",230000
"s2_101",2,"kWh","TOTAL","15%","Not Rounded","Texas","Calculator","Some college",0.5,0.15,29046,22945,"plan2",25000
"s2_102",1,"Percentage","AC","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,1000,498,"plan1",1456
"s2_102",1,"Percentage","AC","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,1000,498,"plan2",1388
"s2_102",1,"Percentage","HEAT","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,18000,16411,"plan1",3457
"s2_102",1,"Percentage","HEAT","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,18000,16411,"plan2",976
"s2_102",1,"Percentage","WATER","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,12000,5832,"plan1",478
"s2_102",1,"Percentage","WATER","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,12000,5832,"plan2",876
"s2_102",1,"Percentage","REFRIG","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,1000,1142,"plan1",1342
"s2_102",1,"Percentage","REFRIG","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,1000,1142,"plan2",9686
"s2_102",1,"Percentage","OTHER","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,8000,6652,"plan1",1235
"s2_102",1,"Percentage","OTHER","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,8000,6652,"plan2",9877
"s2_102",1,"Percentage","TOTAL","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,40000,30535,"plan1",45
"s2_102",1,"Percentage","TOTAL","10%","Rounded","Colorado","Calculator","Graduate degree",0,0.1,40000,30535,"plan2",87
"s2_102",2,"Percentage","AC","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,6573,4249,"plan1",689
"s2_102",2,"Percentage","AC","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,6573,4249,"plan2",9569
"s2_102",2,"Percentage","HEAT","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,6118,5099,"plan1",2348
"s2_102",2,"Percentage","HEAT","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,6118,5099,"plan2",8763
"s2_102",2,"Percentage","WATER","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,5257,4396,"plan1",1347
"s2_102",2,"Percentage","WATER","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,5257,4396,"plan2",9878
"s2_102",2,"Percentage","REFRIG","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,2639,1318,"plan1",7698
"s2_102",2,"Percentage","REFRIG","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,2639,1318,"plan2",7867
"s2_102",2,"Percentage","OTHER","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,8459,7883,"plan1",7544
"s2_102",2,"Percentage","OTHER","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,8459,7883,"plan2",7681
"s2_102",2,"Percentage","TOTAL","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,29046,22945,"plan1",13626
"s2_102",2,"Percentage","TOTAL","15%","Not Rounded","Texas","Calculator","Graduate degree",0,0.15,29046,22945,"plan2",43938
"s2_103",1,"Percentage","AC","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,1000,498,"plan1",1000
"s2_103",1,"Percentage","AC","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,1000,498,"plan2",800
"s2_103",1,"Percentage","HEAT","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,18000,16411,"plan1",17000
"s2_103",1,"Percentage","HEAT","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,18000,16411,"plan2",17200
"s2_103",1,"Percentage","WATER","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,12000,5832,"plan1",9000
"s2_103",1,"Percentage","WATER","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,12000,5832,"plan2",9500
"s2_103",1,"Percentage","REFRIG","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,1000,1142,"plan1",1000
"s2_103",1,"Percentage","REFRIG","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,1000,1142,"plan2",1000
"s2_103",1,"Percentage","OTHER","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,8000,6652,"plan1",8000
"s2_103",1,"Percentage","OTHER","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,8000,6652,"plan2",7500
"s2_103",1,"Percentage","TOTAL","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,40000,30535,"plan1",36000
"s2_103",1,"Percentage","TOTAL","10%","Rounded","Colorado","Calculator","College degree",0.875,0.1,40000,30535,"plan2",36000
"s2_103",2,"Percentage","AC","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,6573,4249,"plan1",5000
"s2_103",2,"Percentage","AC","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,6573,4249,"plan2",5000
"s2_103",2,"Percentage","HEAT","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,6118,5099,"plan1",5500
"s2_103",2,"Percentage","HEAT","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,6118,5099,"plan2",6000
"s2_103",2,"Percentage","WATER","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,5257,4396,"plan1",4500
"s2_103",2,"Percentage","WATER","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,5257,4396,"plan2",4500
"s2_103",2,"Percentage","REFRIG","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,2639,1318,"plan1",2000
"s2_103",2,"Percentage","REFRIG","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,2639,1318,"plan2",1500
"s2_103",2,"Percentage","OTHER","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,8459,7883,"plan1",8000
"s2_103",2,"Percentage","OTHER","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,8459,7883,"plan2",8000
"s2_103",2,"Percentage","TOTAL","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,29046,22945,"plan1",25000
"s2_103",2,"Percentage","TOTAL","15%","Not Rounded","Texas","Calculator","College degree",0.875,0.15,29046,22945,"plan2",25000
"s2_104",1,"Percentage","AC","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,1000,498,"plan1",1000
"s2_104",1,"Percentage","AC","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,1000,498,"plan2",1000
"s2_104",1,"Percentage","HEAT","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,18000,16411,"plan1",17000
"s2_104",1,"Percentage","HEAT","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,18000,16411,"plan2",16000
"s2_104",1,"Percentage","WATER","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,12000,5832,"plan1",11000
"s2_104",1,"Percentage","WATER","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,12000,5832,"plan2",10000
